Date,Average USD (7-day)
2019-03-03,47.95
2019-03-04,47.95
2019-03-05,46.9
2019-03-06,74.29
2019-03-07,78.8
2019-03-08,78.8
2019-03-09,88.85
2019-03-10,88.85
2019-03-11,92.51
2019-03-12,104.96
2019-03-13,68.15
2019-03-14,59.94
2019-03-15,73.01
2019-03-16,69.06
2019-03-17,69.06
2019-03-18,66.52
2019-03-19,66.52
2019-03-20,75.03
2019-03-21,78.72
2019-03-22,69.83
2019-03-23,73.85
2019-03-24,69.98
2019-03-25,106.21
2019-03-26,113.55
2019-03-27,135.44
2019-03-28,115.86
2019-03-29,138.95
2019-03-30,134.4
2019-03-31,144.17
2019-04-01,124.9
2019-04-02,119.8
2019-04-03,107.97
2019-04-04,141.23
2019-04-05,79.54
2019-04-06,383.82
2019-04-07,303.4
2019-04-08,298.57
2019-04-09,298.57
2019-04-10,291.05
2019-04-11,277.92
2019-04-12,303.01
2019-04-13,102.69
2019-04-14,105.66
2019-04-15,102.32
2019-04-16,99.46
2019-04-17,98.31
2019-04-18,94.27
2019-04-19,95.93
2019-04-20,80.64
2019-04-21,72.02
2019-04-22,83.07
2019-04-23,85.4
2019-04-24,86.78
2019-04-25,88.55
2019-04-26,88.55
2019-04-27,97.7
2019-04-28,124.39
2019-04-29,115.29
2019-04-30,114.55
2019-05-01,127.38
2019-05-02,142.23
2019-05-03,116.57
2019-05-04,114.21
2019-05-05,87.08
2019-05-06,72.67
2019-05-07,74.97
2019-05-08,75.36
2019-05-09,76.58
2019-05-10,76.63
2019-05-11,75.98
2019-05-12,75.98
2019-05-13,125.57
2019-05-14,134
2019-05-15,149.34
2019-05-16,187.44
2019-05-17,197.32
2019-05-18,231.09
2019-05-19,306.18
2019-05-20,306.08
2019-05-21,311.12
2019-05-22,284.35
2019-05-23,256.14
2019-05-24,251.28
2019-05-25,249.95
2019-05-26,184.73
2019-05-27,182.88
2019-05-28,182.7
2019-05-29,182.66
2019-05-30,136.68
2019-05-31,130.49
2019-06-01,130.49
2019-06-02,137.7
2019-06-03,141.8
2019-06-04,131.2
2019-06-05,134.28
2019-06-06,135.01
2019-06-07,125.48
2019-06-08,125.48
2019-06-09,125.48
2019-06-10,120.84
2019-06-11,132.55
2019-06-12,143.5
2019-06-13,146.74
2019-06-14,226.8
2019-06-15,226.8
2019-06-16,223.94
2019-06-17,227.52
2019-06-18,245.26
2019-06-19,250.84
2019-06-20,158.75
2019-06-21,125.5
2019-06-22,132.09
2019-06-23,128.38
2019-06-24,127.74
2019-06-25,126.85
2019-06-26,126.41
2019-06-27,128.93
2019-06-28,313.64
2019-06-29,308.19
2019-06-30,325.38
2019-07-01,295.21
2019-07-02,295.21
2019-07-03,295.21
2019-07-04,324.74
2019-07-05,110.55
2019-07-06,116.47
2019-07-07,119.61
2019-07-08,120.79
2019-07-09,123.75
2019-07-10,128.43
2019-07-11,129.48
2019-07-12,134.11
2019-07-13,132.63
2019-07-14,131.7
2019-07-15,134.56
2019-07-16,125.85
2019-07-17,108.52
2019-07-18,98.44
2019-07-19,80.61
2019-07-20,66.05
2019-07-21,66.24
2019-07-22,64.08
2019-07-23,63.79
2019-07-24,64.3
2019-07-25,64.37
2019-07-26,63.41
2019-07-27,61.94
2019-07-28,62.4
2019-07-29,62.27
2019-07-30,62.27
2019-07-31,86.19
2019-08-01,84.91
2019-08-02,87.14
2019-08-03,89.06
2019-08-04,94.14
2019-08-05,129.43
2019-08-06,135.08
2019-08-07,117.23
2019-08-08,130.14
2019-08-09,86.43
2019-08-10,111.79
2019-08-11,117.5
2019-08-12,103.51
2019-08-13,96.93
2019-08-14,95.69
2019-08-15,95.69
2019-08-16,107.57
2019-08-17,82.03
2019-08-18,57.44
2019-08-19,55.62
2019-08-20,62.78
2019-08-21,137.39
2019-08-22,91.86
2019-08-23,91.86
2019-08-24,91.86
2019-08-25,91.86
2019-08-26,91.86
2019-08-27,86.13
2019-08-28,77.58
2019-08-29,78.49
2019-08-30,78.49
2019-08-31,79.95
2019-09-01,72.57
2019-09-02,46.08
2019-09-03,44.59
2019-09-04,45.74
2019-09-05,46.45
2019-09-06,46.45
2019-09-07,45.97
2019-09-08,45.86
2019-09-09,51.24
2019-09-10,56.92
2019-09-11,50.43
2019-09-12,223.27
2019-09-13,181.14
2019-09-14,176.79
2019-09-15,104.58
2019-09-16,105.08
2019-09-17,104.48
2019-09-18,104.48
2019-09-19,63.8
2019-09-20,62.5
2019-09-21,61.01
2019-09-22,103.96
2019-09-23,100.78
2019-09-24,1870
2019-09-25,1154.72
2019-09-26,1154.72
2019-09-27,565.67
2019-09-28,382.9
2019-09-29,364.53
2019-09-30,364.53
2019-10-01,63.44
2019-10-02,60.61
2019-10-03,60.61
2019-10-04,51.44
2019-10-05,58.67
2019-10-06,61.9
2019-10-07,61.9
2019-10-08,59.28
2019-10-09,59.28
2019-10-10,59.28
2019-10-11,54.04
2019-10-12,92.96
2019-10-13,82.59
2019-10-14,79.2
2019-10-15,88
2019-10-16,88
2019-10-17,88
2019-10-18,85.33
2019-10-19,75.69
2019-10-20,84.36
2019-10-21,97.37
2019-10-22,53.24
2019-10-23,48.05
2019-10-24,52.3
2019-10-25,65.9
2019-10-26,61.33
2019-10-27,61.33
2019-10-28,61.33
2019-10-29,61.33
2019-10-30,62.01
2019-10-31,62.65
2019-11-01,86.35
2019-11-02,74.16
2019-11-03,70.77
2019-11-04,81.81
2019-11-05,81.81
2019-11-06,83.95
2019-11-07,82.53
2019-11-08,71.71
2019-11-09,82.8
2019-11-10,88
2019-11-11,65.33
2019-11-12,65.33
2019-11-13,111.74
